id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,propietario
4rEcDCYhXh7vtaZH9mQWi4,Eternal Roamer,Eternal Roamer,ENØS,False,38,0.753,0.831,1,-11.248,1,0.0378,0.00102,0.856,0.112,0.0358,124.986,audio_features,spotify:track:4rEcDCYhXh7vtaZH9mQWi4,https://api.spotify.com/v1/tracks/4rEcDCYhXh7vtaZH9mQWi4,https://api.spotify.com/v1/audio-analysis/4rEcDCYhXh7vtaZH9mQWi4,6.4599,4,Lucas
4DHATlv5A1Gs9pMaWSHDMb,I'm Fine (IMANU Remix),I'm Fine - IMANU Remix,"Apashe, High Klassified, Cherry Lena, IMANU",False,64,0.669,0.919,10,-2.888,0,0.0652,0.278,0.0343,0.0934,0.514,121.047,audio_features,spotify:track:4DHATlv5A1Gs9pMaWSHDMb,https://api.spotify.com/v1/tracks/4DHATlv5A1Gs9pMaWSHDMb,https://api.spotify.com/v1/audio-analysis/4DHATlv5A1Gs9pMaWSHDMb,4.066283333333334,4,Lucas
4NaAbvkahjOQUwJ0OaRkWq,Afrika / Meco / Oasis,Afrika,Simon Vuarambon,False,29,0.806,0.887,1,-9.037,0,0.0713,0.0714,0.881,0.0612,0.565,121.0,audio_features,spotify:track:4NaAbvkahjOQUwJ0OaRkWq,https://api.spotify.com/v1/tracks/4NaAbvkahjOQUwJ0OaRkWq,https://api.spotify.com/v1/audio-analysis/4NaAbvkahjOQUwJ0OaRkWq,7.229216666666667,4,Lucas
2Yv2mHzr5AQavVdwQjEokV,Circles,Hand Me Downs,Mac Miller,False,69,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,audio_features,spotify:track:2Yv2mHzr5AQavVdwQjEokV,https://api.spotify.com/v1/tracks/2Yv2mHzr5AQavVdwQjEokV,https://api.spotify.com/v1/audio-analysis/2Yv2mHzr5AQavVdwQjEokV,4.974,4,Santi
3xKsf9qdS1CyvXSMEid6g8,Blonde,Pink + White,Frank Ocean,False,89,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,audio_features,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,3.075266666666667,3,Santi
6Ec5LeRzkisa5KJtwLfOoW,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",False,90,0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,audio_features,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/tracks/6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/audio-analysis/6Ec5LeRzkisa5KJtwLfOoW,4.2671166666666664,4,Santi
5lw8Mgb4LyhriPIC86gV6e,The Lost Boy,RNP (feat. Anderson .Paak),"Cordae, Anderson .Paak",True,70,0.611,0.714,9,-4.696,0,0.856,0.184,0.0,0.145,0.628,196.043,audio_features,spotify:track:5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/tracks/5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/audio-analysis/5lw8Mgb4LyhriPIC86gV6e,2.9304666666666668,4,Santi
2z9iuAxKv4TTeCrPAxxKg9,"I Love Life, Thank You",Love Lost,"Mac Miller, The Temper Trap",True,81,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,audio_features,spotify:track:2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/tracks/2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/audio-analysis/2z9iuAxKv4TTeCrPAxxKg9,2.7146,4,Santi
1boXOL0ua7N2iCOUVI1p9F,Get You - Single,Japanese Denim,Daniel Caesar,True,79,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,audio_features,spotify:track:1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/tracks/1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/audio-analysis/1boXOL0ua7N2iCOUVI1p9F,4.514116666666666,3,Santi
4cRBqWBjuccCowYVHFlXK6,Views,Redemption,Drake,True,68,0.694,0.314,0,-7.82,1,0.116,0.611,2.07e-06,0.117,0.341,119.905,audio_features,spotify:track:4cRBqWBjuccCowYVHFlXK6,https://api.spotify.com/v1/tracks/4cRBqWBjuccCowYVHFlXK6,https://api.spotify.com/v1/audio-analysis/4cRBqWBjuccCowYVHFlXK6,5.565783333333333,4,Santi
7pt64sepCy5QmDrgy9wOJS,blue,blue,Kamal.,False,64,0.725,0.258,11,-14.065,0,0.255,0.668,2.63e-05,0.0955,0.173,127.876,audio_features,spotify:track:7pt64sepCy5QmDrgy9wOJS,https://api.spotify.com/v1/tracks/7pt64sepCy5QmDrgy9wOJS,https://api.spotify.com/v1/audio-analysis/7pt64sepCy5QmDrgy9wOJS,3.075,3,Santi
4vzV11MKDc82D9r1YV61MQ,Moonlight in Atlanta,Moonlight in Atlanta,Russ,True,58,0.514,0.32,9,-9.669,1,0.144,0.891,0.0,0.0977,0.236,76.916,audio_features,spotify:track:4vzV11MKDc82D9r1YV61MQ,https://api.spotify.com/v1/tracks/4vzV11MKDc82D9r1YV61MQ,https://api.spotify.com/v1/audio-analysis/4vzV11MKDc82D9r1YV61MQ,2.725,4,Santi
0Ph1Ptj4r31cQsUQ4oICNB,Analogue,Bliss City,ODIE,True,47,0.656,0.305,0,-11.997,1,0.0946,0.307,2.45e-05,0.0891,0.421,180.752,audio_features,spotify:track:0Ph1Ptj4r31cQsUQ4oICNB,https://api.spotify.com/v1/tracks/0Ph1Ptj4r31cQsUQ4oICNB,https://api.spotify.com/v1/audio-analysis/0Ph1Ptj4r31cQsUQ4oICNB,3.5657,3,Santi
4wVOKKEHUJxHCFFNUWDn0B,Dark Lane Demo Tapes,Chicago Freestyle (feat. Giveon),"Drake, Giveon",True,83,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,audio_features,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,https://api.spotify.com/v1/tracks/4wVOKKEHUJxHCFFNUWDn0B,https://api.spotify.com/v1/audio-analysis/4wVOKKEHUJxHCFFNUWDn0B,3.6748,4,Santi
3m9St7c9tpJwNYN2adNESk,Circles (Deluxe),Surf,Mac Miller,False,52,0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,audio_features,spotify:track:3m9St7c9tpJwNYN2adNESk,https://api.spotify.com/v1/tracks/3m9St7c9tpJwNYN2adNESk,https://api.spotify.com/v1/audio-analysis/3m9St7c9tpJwNYN2adNESk,5.50845,4,Santi
16umSNZfofRpDqTvf8DIAo,Swimming,Wings,Mac Miller,True,68,0.656,0.33,8,-8.771,1,0.162,0.818,0.00386,0.107,0.349,119.057,audio_features,spotify:track:16umSNZfofRpDqTvf8DIAo,https://api.spotify.com/v1/tracks/16umSNZfofRpDqTvf8DIAo,https://api.spotify.com/v1/audio-analysis/16umSNZfofRpDqTvf8DIAo,4.168666666666667,4,Santi
7KA4W4McWYRpgf0fWsJZWB,Flower Boy,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",True,100,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,3.00645,4,Santi
1OubIZ0ARYCUq5kceYUQiO,The Divine Feminine,Congratulations (feat. Bilal),"Mac Miller, Bilal",True,81,0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,audio_features,spotify:track:1OubIZ0ARYCUq5kceYUQiO,https://api.spotify.com/v1/tracks/1OubIZ0ARYCUq5kceYUQiO,https://api.spotify.com/v1/audio-analysis/1OubIZ0ARYCUq5kceYUQiO,4.273783333333333,4,Santi
0TkIQ2I48rz4kpk1XpfyHq,NASTU,Mi Luz (ft. Rels B),"Rvfv, Rels B",False,77,0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,audio_features,spotify:track:0TkIQ2I48rz4kpk1XpfyHq,https://api.spotify.com/v1/tracks/0TkIQ2I48rz4kpk1XpfyHq,https://api.spotify.com/v1/audio-analysis/0TkIQ2I48rz4kpk1XpfyHq,2.8,4,Tomi
31i56LZnwE6uSu3exoHjtB,Un Verano Sin Ti,Neverita,Bad Bunny,False,87,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,audio_features,spotify:track:31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/tracks/31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/audio-analysis/31i56LZnwE6uSu3exoHjtB,2.8853166666666668,4,Tomi
69ZaPBHhRMRDjRpW1ivnOU,X 100PRE,Como Antes,Bad Bunny,False,69,0.767,0.379,0,-10.348,1,0.0385,0.668,0.000145,0.217,0.252,103.956,audio_features,spotify:track:69ZaPBHhRMRDjRpW1ivnOU,https://api.spotify.com/v1/tracks/69ZaPBHhRMRDjRpW1ivnOU,https://api.spotify.com/v1/audio-analysis/69ZaPBHhRMRDjRpW1ivnOU,3.842966666666667,4,Tomi
6VrQTLzzuyGIYjUDe4kAZk,Un Verano Sin Ti,Un Coco,Bad Bunny,True,84,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991,audio_features,spotify:track:6VrQTLzzuyGIYjUDe4kAZk,https://api.spotify.com/v1/tracks/6VrQTLzzuyGIYjUDe4kAZk,https://api.spotify.com/v1/audio-analysis/6VrQTLzzuyGIYjUDe4kAZk,3.27355,4,Tomi
4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",False,84,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,audio_features,spotify:track:4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,3.455016666666667,4,Tomi
2fBL047Cv32R3UFEup6xkP,No Me Llores,No Me Llores,"Duki, Leby",True,69,0.538,0.676,11,-8.846,0,0.038,0.665,7.98e-06,0.135,0.158,82.522,audio_features,spotify:track:2fBL047Cv32R3UFEup6xkP,https://api.spotify.com/v1/tracks/2fBL047Cv32R3UFEup6xkP,https://api.spotify.com/v1/audio-analysis/2fBL047Cv32R3UFEup6xkP,3.197433333333333,3,Tomi
4qYOtEUm1Xp8dFSOfz9uP0,Fvck Luv,Fvck Luv,"Duki, C.R.O",True,69,0.716,0.74,4,-6.851,0,0.0757,0.59,0.000145,0.15,0.453,157.094,audio_features,spotify:track:4qYOtEUm1Xp8dFSOfz9uP0,https://api.spotify.com/v1/tracks/4qYOtEUm1Xp8dFSOfz9uP0,https://api.spotify.com/v1/audio-analysis/4qYOtEUm1Xp8dFSOfz9uP0,3.03265,4,Tomi
3VJSv1RoYiCY4ECGyDO7ry,Súper Sangre Joven,Me Gusta Lo Simple,"Duki, Aleman",True,65,0.749,0.721,1,-5.827,1,0.459,0.375,0.0,0.0849,0.856,89.613,audio_features,spotify:track:3VJSv1RoYiCY4ECGyDO7ry,https://api.spotify.com/v1/tracks/3VJSv1RoYiCY4ECGyDO7ry,https://api.spotify.com/v1/audio-analysis/3VJSv1RoYiCY4ECGyDO7ry,3.2771166666666667,4,Tomi
0icidvfDmXmaS5vMQlIPF8,Lola,Lola,Duko,True,62,0.843,0.567,4,-7.665,0,0.132,0.181,1.36e-05,0.0566,0.613,93.989,audio_features,spotify:track:0icidvfDmXmaS5vMQlIPF8,https://api.spotify.com/v1/tracks/0icidvfDmXmaS5vMQlIPF8,https://api.spotify.com/v1/audio-analysis/0icidvfDmXmaS5vMQlIPF8,2.7840333333333334,4,Tomi
5w8dx6u3KGawHWZAJoqyKM,YSYSMO,A POR TODO,"YSY A, SPONSOR DIOS, ONIRIA",True,69,0.796,0.567,11,-8.32,0,0.199,0.0732,4.2e-05,0.239,0.226,82.02,audio_features,spotify:track:5w8dx6u3KGawHWZAJoqyKM,https://api.spotify.com/v1/tracks/5w8dx6u3KGawHWZAJoqyKM,https://api.spotify.com/v1/audio-analysis/5w8dx6u3KGawHWZAJoqyKM,2.7807833333333334,4,Tomi
2wK7D7i9bfVt3uLjFsZSEU,HECHO A MANO,FULL ICE (prod. ORODEMBOW),YSY A,False,66,0.744,0.702,2,-4.633,1,0.0732,0.0325,1.46e-06,0.178,0.487,147.013,audio_features,spotify:track:2wK7D7i9bfVt3uLjFsZSEU,https://api.spotify.com/v1/tracks/2wK7D7i9bfVt3uLjFsZSEU,https://api.spotify.com/v1/audio-analysis/2wK7D7i9bfVt3uLjFsZSEU,2.6679666666666666,4,Tomi
44XjoNvtwevktFKjvVe1vH,Un Verano Sin Ti,Andrea,"Bad Bunny, Buscabulla",True,81,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071,audio_features,spotify:track:44XjoNvtwevktFKjvVe1vH,https://api.spotify.com/v1/tracks/44XjoNvtwevktFKjvVe1vH,https://api.spotify.com/v1/audio-analysis/44XjoNvtwevktFKjvVe1vH,5.6602,4,Tomi
3aozFlnbP7zhcJKi9O0FUz,"TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)","TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)","Modo Diablo, Duki, Neo Pistea, YSY A",True,61,0.82,0.741,2,-9.159,1,0.122,0.0902,0.0,0.135,0.429,127.967,audio_features,spotify:track:3aozFlnbP7zhcJKi9O0FUz,https://api.spotify.com/v1/tracks/3aozFlnbP7zhcJKi9O0FUz,https://api.spotify.com/v1/audio-analysis/3aozFlnbP7zhcJKi9O0FUz,3.823583333333333,4,Tomi
262lBp5MtK39jc7gQdYrVM,Quavo #Mododiablo,Quavo #Mododiablo,"Duki, YSY A, Neo Pistea",True,64,0.676,0.765,7,-4.612,0,0.0328,0.271,0.0,0.125,0.6,140.036,audio_features,spotify:track:262lBp5MtK39jc7gQdYrVM,https://api.spotify.com/v1/tracks/262lBp5MtK39jc7gQdYrVM,https://api.spotify.com/v1/audio-analysis/262lBp5MtK39jc7gQdYrVM,3.95715,4,Tomi
03a359wbiUsjN9h6yzXvmS,She Don't Give a Fo,She Don't Give a Fo,"Duki, KHEA",False,79,0.854,0.556,1,-4.49,1,0.14,0.345,0.0,0.165,0.342,119.938,audio_features,spotify:track:03a359wbiUsjN9h6yzXvmS,https://api.spotify.com/v1/tracks/03a359wbiUsjN9h6yzXvmS,https://api.spotify.com/v1/audio-analysis/03a359wbiUsjN9h6yzXvmS,3.492183333333333,4,Tomi
